question_text,option_1,option_2,option_3,option_4,correct_index,difficulty,tags
"Find the odd one out: spinach, carrot, grape, banana",spinach,carrot,grape,banana,1,hard,logic
"Average of five numbers is 28. If one number 79 is replaced by 63, new average is?",24.8,25.8,24.3,26.8,1,medium,math
"A process completes a job in 92 hours. If 3 identical processes work together, how long will they take?",46.0,23.0,69.0,92.0,1,hard,math
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,hard,algorithmic
"If two fair dice are rolled, what is probability that sum is 11?",2/36,3/36,1/36,2/6,1,medium,probability
"If P% of a number is 5.2 and Q% of the same number is 1.3, what is P:Q?",20:5,5:20,40:5,20:10,1,medium,math
"Average of five numbers is 40. If one number 54 is replaced by 31, new average is?",35.4,36.4,34.9,37.4,1,hard,math
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,medium,probability
"Find the odd one out: spinach, pear, carrot, banana",spinach,pear,carrot,banana,1,hard,logic
"Average of five numbers is 65. If one number 7 is replaced by 17, new average is?",67.0,68.0,66.5,69.0,1,hard,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,easy,logic
"If two fair dice are rolled, what is probability that sum is 7?",6/36,7/36,5/36,6/6,1,easy,probability
"A process completes a job in 34 hours. If 5 identical processes work together, how long will they take?",17.0,8.5,25.5,34.0,1,hard,math
"If 5 items cost $17, what is the cost of 13 items?",44.2,45.2,42.2,49.2,1,easy,math
"Find the odd one out: grape, carrot, spinach, banana",grape,carrot,spinach,banana,2,medium,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,medium,logic
"Average of five numbers is 24. If one number 30 is replaced by 80, new average is?",34.0,35.0,33.5,36.0,1,hard,math
Which data structure is best for LIFO?,Queue,Stack,Heap,Graph,2,easy,algorithmic
Logic default,a,b,c,d,1,medium,logic
"A process completes a job in 48 hours. If 4 identical processes work together, how long will they take?",12.0,6.0,18.0,24.0,1,medium,math
"If every 3rd person is selected from a queue of 99, how many are selected?",33,34,33,32,1,easy,logic
Choose the grammatically correct sentence:,She don't like it.,She doesn't like it.,She do not like it.,She doesn't likes it.,2,medium,verbal
"If P% of a number is 10.2 and Q% of the same number is 25.5, what is P:Q?",10:25,25:10,20:25,10:50,1,hard,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
A train travels at 78 km/h and covers a distance in 3 hours. What is the distance?,234,244,229,251,1,medium,math
"If every 3rd person is selected from a queue of 15, how many are selected?",5,6,5,4,1,medium,logic
"If 5 items cost $111, what is the cost of 13 items?",288.6,289.6,286.6,293.6,1,medium,math
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
Logic default,a,b,c,d,1,easy,logic
"If an array is sorted and then reversed, what is time complexity for worst-case search using binary search?",O(log n),O(n),O(n log n),O(1),1,medium,algorithmic
Logic default,a,b,c,d,1,hard,logic
"Sequence: 8, 11, 16, 17, ? What is next?",20,21,19,22,1,hard,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,easy,logic
A cube painted on all faces is cut into 27 equal smaller cubes. How many of the small cubes have exactly two painted faces?,12,6,8,0,1,hard,logic
"Product X price increases by 17%. If original expenditure was $100, new expenditure is $?",117,129,111,123,1,hard,math
Logic default,a,b,c,d,1,medium,logic
"Find the odd one out: spinach, grape, banana, apple",spinach,grape,banana,apple,1,medium,logic
