title,description,starter_code,test_cases,skill_tags,difficulty
Arrays Problem — 6ce0,Write a arrays function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Sql Problem — 2f21,Write a sql function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Logic Problem — 4ffb,Write a logic function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Ml Problem — a20e,Write a ml function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Api Problem — 5409,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Logic Problem — 11a6,Write a logic function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Dsa Problem — 6438,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Api Problem — ce92,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",easy
Flask Problem — 7f72,Write a flask function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",medium
Git Problem — 7149,Write a git function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
Rotate Array — DSA #10,Rotate an array to the right by k steps. Provide optimal time and space complexity.,"def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","['python', 'dsa', 'algorithms', 'logic']",easy
Sql Problem — 745b,Write a sql function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
File Upload API — Web/Backend #7,"Implement chunked file upload API that resumes after interruption. Focus on correctness, security and edge cases.","from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/')
def index():
    return jsonify({""status"":""ok""})

# implement endpoints

if __name__ == '__main__':
    app.run()","[{""input"": ""POST /posts?page=1"", ""output"": ""200 list""}, {""input"": ""POST /posts?page=1000"", ""output"": ""[]""}]","['python', 'flask', 'api', 'web', 'security']",medium
Api Problem — ebdd,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Algorithm Problem — 0262,Write a algorithm function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",medium
Arrays Problem — b60a,Write a arrays function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
Git Problem — 7224,Write a git function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",medium
Hyperparameter Search — Data/ML #5,Implement grid search or randomized search to tune model hyperparameters. Provide code + explanation and complexity where applicable.,"import pandas as pd
from sklearn.model_selection import train_test_split

def solve(path_to_csv):
    # load and implement
    pass

if __name__ == '__main__':
    pass","[{""input"": ""sample.csv"", ""output"": ""metrics_or_output""}]","['python', 'pandas', 'ml', 'data-engineering', 'sklearn']",easy
Recursion Problem — 5ca8,Write a recursion function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",easy
GraphQL Basic Resolver — Web/Backend #9,"Implement resolver for nested product reviews. Focus on correctness, security and edge cases.","# pseudo GraphQL resolver example
# implement resolver function
","[{""input"": ""product_id=1"", ""output"": ""reviews list""}]","['graphql', 'api', 'web']",hard
Web Problem — 5d17,Write a web function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Backend Problem — c47f,Write a backend function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",hard
Data Structures Problem — 1ede,Write a data structures function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Dsa Problem — f660,Write a dsa function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","dsa,algorithm,logic,data structures,arrays,strings,recursion",hard
Flask Problem — 43c5,Write a flask function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","python,ml,sql,flask,django,api,c,java",hard
Api Problem — 652e,Write a api function to solve a realistic interview challenge. Include edge-case handling and O(n) complexity where possible.,"public class Solution {
    public static void main(String[] args) {
        // code
    }
}","[{""input"": ""2 3"", ""output"": ""5""}]","web,analytics,pandas,linux,git,deployment,api,backend",easy
