"title","description","starter_code","test_cases","skill_tags","difficulty"
"Two Sum Variant — DSA #1","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","easy"
"Reverse Linked List — DSA #2","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Detect Cycle in Linked List — DSA #3","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","medium"
"Merge Two Sorted Lists — DSA #4","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","easy"
"Binary Search — DSA #5","Implement binary search to find target index in sorted array or -1 if not present. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|3"", ""output"": ""2""}, {""input"": ""1 3 5 7|2"", ""output"": ""-1""}]","python,dsa,algorithms,logic","medium"
"Kth Smallest Element — DSA #6","Return the k-th smallest element in an unsorted array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""3 2 1 5 6|2"", ""output"": ""3""}]","python,dsa,algorithms,logic","medium"
"Valid Parentheses — DSA #7","Check if the parentheses string is valid. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""()"", ""output"": ""true""}, {""input"": ""()[]{}"", ""output"": ""true""}, {""input"": ""(]"", ""output"": ""false""}]","python,dsa,algorithms,logic","hard"
"Longest Increasing Subsequence — DSA #8","Return length of LIS in an integer array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""10 9 2 5 3 7 101 18"", ""output"": ""4""}]","python,dsa,algorithms,logic","easy"
"Top K Frequent Elements — DSA #9","Return the k most frequent elements from an array. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 1 1 2 2 3|2"", ""output"": ""1 2""}]","python,dsa,algorithms,logic","easy"
"Rotate Array — DSA #10","Rotate an array to the right by k steps. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1 2 3 4 5|2"", ""output"": ""4 5 1 2 3""}]","python,dsa,algorithms,logic","easy"
"Two Sum Variant — DSA #11","Given an array and a target, return indices of two numbers that add to target. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""2 7 11 15|9"", ""output"": ""0 1""}, {""input"": ""3 2 4|6"", ""output"": ""1 2""}, {""input"": ""-1 0 1|0"", ""output"": """"}]","python,dsa,algorithms,logic","medium"
"Reverse Linked List — DSA #12","Reverse a singly linked list and return the head of the reversed list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->5"", ""output"": ""5->4->3->2->1""}, {""input"": ""1->2"", ""output"": ""2->1""}, {""input"": """", ""output"": """"}]","python,dsa,algorithms,logic","easy"
"Detect Cycle in Linked List — DSA #13","Given head of a linked list, return true if there is a cycle. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1->2->3->4->2"", ""output"": ""true""}, {""input"": ""1->2->3->4"", ""output"": ""false""}]","python,dsa,algorithms,logic","easy"
"Merge Two Sorted Lists — DSA #14","Merge two sorted linked lists into one sorted list. Provide optimal time and space complexity.","def solve(nums, target=None):
    # implement and return result
    pass

if __name__ == '__main__':
    pass","[{""input"": ""1,2,4|1,3,4"", ""output"": ""1,1,2,3,4,4""}]","python,dsa,algorithms,logic","medium"
